3702.AT3G12280.1	10821.REP_MSVS
4113.PGSC0003DMT400036235	12327.TGB2_BSMV
9986.ENSOCUP00000021269	10273.Q77PA8_MYXVL
9606.ENSP00000296946	10255.F9_VAR67
9606.ENSP00000296946	10271.Q9Q916_RFVKA
9606.ENSP00000296946	10271.Q9Q8T1_RFVKA
9606.ENSP00000296946	10561.VL1_BPV3
9606.ENSP00000335153	687379.CAPSD_TTVG1
9606.ENSP00000334499	11089.PRO_0000037758
9606.ENSP00000370381	10258.Q6TVM6_ORFSA
10090.ENSMUSP00000104349	694005.PRO_0000037346
9606.ENSP00000370808	32604.UL07_HHV6Z
9913.ENSBTAP00000055793	10245.IL18B_VACCW
9823.ENSSSCP00000019312	10271.A28_RFVKA
9986.ENSOCUP00000001546	10245.A6_VACCW
9606.ENSP00000328133	11588.GP_RVFVZ_GN
9606.ENSP00000328133	11588.GP_RVFVZ_GC
9606.ENSP00000296946	11886.PRO_0000397054
9606.ENSP00000269305	333926.VE6_HPV04
9606.ENSP00000300060	11137.SPIKE_CVH22	
9606.ENSP00000011653	11676.PRO_0000239240_SP
9606.ENSP00000011653	11676.PRO_0000239240_TMP

